day,dailly_cases-16,dailly_cases-15,dailly_cases-14,dailly_cases-13,dailly_cases-12,dailly_cases-11,dailly_cases-10,dailly_cases-9,dailly_cases-8,dailly_cases-7,dailly_cases-6,dailly_cases-5,dailly_cases-4,dailly_cases-3,dailly_cases-2,dailly_cases-1
31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,11
45,0,0,0,0,0,0,0,0,0,0,0,1,0,2,11,19
46,0,0,0,0,0,0,0,0,0,0,1,0,2,11,19,17
47,0,0,0,0,0,0,0,0,0,1,0,2,11,19,17,96
48,0,0,0,0,0,0,0,0,1,0,2,11,19,17,96,48
49,0,0,0,0,0,0,0,1,0,2,11,19,17,96,48,38
50,0,0,0,0,0,0,1,0,2,11,19,17,96,48,38,28
51,0,0,0,0,0,1,0,2,11,19,17,96,48,38,28,86
52,0,0,0,0,1,0,2,11,19,17,96,48,38,28,86,109
53,0,0,0,1,0,2,11,19,17,96,48,38,28,86,109,144
54,0,0,1,0,2,11,19,17,96,48,38,28,86,109,144,251
55,0,1,0,2,11,19,17,96,48,38,28,86,109,144,251,144
56,1,0,2,11,19,17,96,48,38,28,86,109,144,251,144,477
57,0,2,11,19,17,96,48,38,28,86,109,144,251,144,477,694
58,2,11,19,17,96,48,38,28,86,109,144,251,144,477,694,1359
59,11,19,17,96,48,38,28,86,109,144,251,144,477,694,1359,1992
60,19,17,96,48,38,28,86,109,144,251,144,477,694,1359,1992,3826
61,17,96,48,38,28,86,109,144,251,144,477,694,1359,1992,3826,3072
62,96,48,38,28,86,109,144,251,144,477,694,1359,1992,3826,3072,5067
63,48,38,28,86,109,144,251,144,477,694,1359,1992,3826,3072,5067,6301
64,38,28,86,109,144,251,144,477,694,1359,1992,3826,3072,5067,6301,5515
