day,dailly_cases-16,dailly_cases-15,dailly_cases-14,dailly_cases-13,dailly_cases-12,dailly_cases-11,dailly_cases-10,dailly_cases-9,dailly_cases-8,dailly_cases-7,dailly_cases-6,dailly_cases-5,dailly_cases-4,dailly_cases-3,dailly_cases-2,dailly_cases-1
91,11976,11792,9437,12074,14058,13533,9834,9306,9876,10350,9263,10281,9984,8366,7737,9078
92,11792,9437,12074,14058,13533,9834,9306,9876,10350,9263,10281,9984,8366,7737,9078,6828
93,9437,12074,14058,13533,9834,9306,9876,10350,9263,10281,9984,8366,7737,9078,6828,6970
94,12074,14058,13533,9834,9306,9876,10350,9263,10281,9984,8366,7737,9078,6828,6970,7904
95,14058,13533,9834,9306,9876,10350,9263,10281,9984,8366,7737,9078,6828,6970,7904,8952
96,13533,9834,9306,9876,10350,9263,10281,9984,8366,7737,9078,6828,6970,7904,8952,10940
97,9834,9306,9876,10350,9263,10281,9984,8366,7737,9078,6828,6970,7904,8952,10940,6524
98,9306,9876,10350,9263,10281,9984,8366,7737,9078,6828,6970,7904,8952,10940,6524,6445
99,9876,10350,9263,10281,9984,8366,7737,9078,6828,6970,7904,8952,10940,6524,6445,5017
100,10350,9263,10281,9984,8366,7737,9078,6828,6970,7904,8952,10940,6524,6445,5017,5327
101,9263,10281,9984,8366,7737,9078,6828,6970,7904,8952,10940,6524,6445,5017,5327,6428
102,10281,9984,8366,7737,9078,6828,6970,7904,8952,10940,6524,6445,5017,5327,6428,6576
103,9984,8366,7737,9078,6828,6970,7904,8952,10940,6524,6445,5017,5327,6428,6576,5406
104,8366,7737,9078,6828,6970,7904,8952,10940,6524,6445,5017,5327,6428,6576,5406,4250
105,7737,9078,6828,6970,7904,8952,10940,6524,6445,5017,5327,6428,6576,5406,4250,5025
106,9078,6828,6970,7904,8952,10940,6524,6445,5017,5327,6428,6576,5406,4250,5025,3844
107,6828,6970,7904,8952,10940,6524,6445,5017,5327,6428,6576,5406,4250,5025,3844,3828
108,6970,7904,8952,10940,6524,6445,5017,5327,6428,6576,5406,4250,5025,3844,3828,4896
109,7904,8952,10940,6524,6445,5017,5327,6428,6576,5406,4250,5025,3844,3828,4896,4356
110,8952,10940,6524,6445,5017,5327,6428,6576,5406,4250,5025,3844,3828,4896,4356,3327
111,10940,6524,6445,5017,5327,6428,6576,5406,4250,5025,3844,3828,4896,4356,3327,2795
112,6524,6445,5017,5327,6428,6576,5406,4250,5025,3844,3828,4896,4356,3327,2795,3135
113,6445,5017,5327,6428,6576,5406,4250,5025,3844,3828,4896,4356,3327,2795,3135,2783
114,5017,5327,6428,6576,5406,4250,5025,3844,3828,4896,4356,3327,2795,3135,2783,2835
115,5327,6428,6576,5406,4250,5025,3844,3828,4896,4356,3327,2795,3135,2783,2835,3655
116,6428,6576,5406,4250,5025,3844,3828,4896,4356,3327,2795,3135,2783,2835,3655,3356
117,6576,5406,4250,5025,3844,3828,4896,4356,3327,2795,3135,2783,2835,3655,3356,3169
118,5406,4250,5025,3844,3828,4896,4356,3327,2795,3135,2783,2835,3655,3356,3169,2395
