"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"4","0.025535900","112.80.248.75","172.20.10.6","ICMP","126","51 dBm","","","Echo (ping) reply    id=0x0001, seq=459/51969, ttl=53 (request in 3)"
"6","1.053023500","112.80.248.75","172.20.10.6","ICMP","126","51 dBm","","","Echo (ping) reply    id=0x0001, seq=460/52225, ttl=53 (request in 5)"
"8","2.059537800","112.80.248.75","172.20.10.6","ICMP","126","56 dBm","","","Echo (ping) reply    id=0x0001, seq=461/52481, ttl=53 (request in 7)"
"10","2.276518700","112.53.36.19","172.20.10.6","TCP","196","47 dBm","","","80  >  50545 [PSH, ACK] Seq=1 Ack=388 Win=343 Len=90"
"13","3.060513700","112.80.248.75","172.20.10.6","ICMP","126","45 dBm","","","Echo (ping) reply    id=0x0001, seq=462/52737, ttl=53 (request in 12)"
"15","4.072056500","112.80.248.75","172.20.10.6","ICMP","126","47 dBm","","","Echo (ping) reply    id=0x0001, seq=463/52993, ttl=53 (request in 14)"
"17","5.052223000","40.90.189.152","172.20.10.6","TLSv1.2","280","43 dBm","","","Application Data"
"19","5.076993300","112.80.248.75","172.20.10.6","ICMP","126","43 dBm","","","Echo (ping) reply    id=0x0001, seq=464/53249, ttl=53 (request in 18)"
"22","5.459272300","52.108.40.1","172.20.10.6","TCP","118","43 dBm","","","443  >  50561 [ACK] Seq=1 Ack=2 Win=2048 Len=0 SLE=1 SRE=2"
"24","6.106072900","112.80.248.75","172.20.10.6","ICMP","126","46 dBm","","","Echo (ping) reply    id=0x0001, seq=465/53505, ttl=53 (request in 23)"
"25","6.388698600","58.247.205.183","172.20.10.6","TCP","106","48 dBm","","","80  >  56338 [FIN, ACK] Seq=1 Ack=1 Win=11390 Len=0"
"28","7.111528100","112.80.248.75","172.20.10.6","ICMP","126","44 dBm","","","Echo (ping) reply    id=0x0001, seq=466/53761, ttl=53 (request in 27)"
"30","7.705877200","172.20.10.1","172.20.10.6","DNS","259","46 dBm","","","Standard query response 0x5443 A v10.events.data.microsoft.com CNAME global.asimov.events.data.trafficmanager.net CNAME skypedataprdcoleus06.cloudapp.net A 52.114.133.60"
"32","7.971665700","52.114.133.60","172.20.10.6","TCP","118","48 dBm","","","443  >  56345 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 WS=256 SACK_PERM=1"
"36","8.131582600","112.80.248.75","172.20.10.6","ICMP","126","49 dBm","","","Echo (ping) reply    id=0x0001, seq=467/54017, ttl=53 (request in 35)"
"37","8.257169800","52.114.133.60","172.20.10.6","TCP","1506","49 dBm","","","443  >  56345 [ACK] Seq=1 Ack=215 Win=524544 Len=1400 [TCP segment of a reassembled PDU]"
"38","8.258136600","52.114.133.60","172.20.10.6","TCP","1506","49 dBm","","","443  >  56345 [ACK] Seq=1401 Ack=215 Win=524544 Len=1400 [TCP segment of a reassembled PDU]"
"39","8.258136600","52.114.133.60","172.20.10.6","TLSv1.2","1372","49 dBm","","","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"42","8.536112900","52.114.133.60","172.20.10.6","TLSv1.2","157","48 dBm","","","Change Cipher Spec, Encrypted Handshake Message"
"46","8.812284600","52.114.133.60","172.20.10.6","TCP","106","43 dBm","","","443  >  56345 [ACK] Seq=4118 Ack=1904 Win=524800 Len=0"
"47","8.812284600","52.114.133.60","172.20.10.6","TCP","106","43 dBm","","","443  >  56345 [ACK] Seq=4118 Ack=4704 Win=524800 Len=0"
"48","8.817696700","52.114.133.60","172.20.10.6","TCP","106","43 dBm","","","443  >  56345 [ACK] Seq=4118 Ack=7504 Win=524800 Len=0"
"49","8.817696700","52.114.133.60","172.20.10.6","TCP","106","43 dBm","","","443  >  56345 [ACK] Seq=4118 Ack=9548 Win=524800 Len=0"
"50","8.822790000","52.114.133.60","172.20.10.6","TLSv1.2","466","43 dBm","","","Application Data"
"53","9.104289200","52.114.133.60","172.20.10.6","TCP","106","43 dBm","","","443  >  56345 [ACK] Seq=4478 Ack=12700 Win=524800 Len=0"
"54","9.106778400","52.114.133.60","172.20.10.6","TLSv1.2","463","43 dBm","","","Application Data"
"58","9.145477300","112.80.248.75","172.20.10.6","ICMP","126","43 dBm","","","Echo (ping) reply    id=0x0001, seq=468/54273, ttl=53 (request in 55)"
"59","9.375684900","52.114.133.60","172.20.10.6","TCP","106","42 dBm","","","443  >  56345 [ACK] Seq=4835 Ack=15069 Win=524800 Len=0"
"60","9.377530200","52.114.133.60","172.20.10.6","TCP","106","42 dBm","","","443  >  56345 [ACK] Seq=4835 Ack=17869 Win=524800 Len=0"
