"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"4","0.030126600","153.37.235.5","172.20.10.8","ICMP","126","40 dBm","","","Echo (ping) reply    id=0x0001, seq=2791/59146, ttl=51 (request in 3)"
"6","1.082581900","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2792/59402, ttl=51 (request in 5)"
"8","2.064550000","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2793/59658, ttl=51 (request in 7)"
"10","3.082484100","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2794/59914, ttl=51 (request in 9)"
"12","4.098992400","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2795/60170, ttl=51 (request in 11)"
"14","5.104911800","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2796/60426, ttl=51 (request in 13)"
"16","6.122423100","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2797/60682, ttl=51 (request in 15)"
"18","7.139351300","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2798/60938, ttl=51 (request in 17)"
"20","8.163162700","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2799/61194, ttl=51 (request in 19)"
"22","9.187227400","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2800/61450, ttl=51 (request in 21)"
"24","10.192759400","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2801/61706, ttl=51 (request in 23)"
"26","10.565128900","52.139.250.253","172.20.10.8","TLSv1.2","280","38 dBm","","","Application Data"
"29","11.251364500","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2802/61962, ttl=51 (request in 28)"
"31","12.234286600","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2803/62218, ttl=51 (request in 30)"
"33","13.251981600","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2804/62474, ttl=51 (request in 32)"
"35","14.272809200","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2805/62730, ttl=51 (request in 34)"
"37","15.268575700","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2806/62986, ttl=51 (request in 36)"
"39","16.278134900","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2807/63242, ttl=51 (request in 38)"
"41","17.315608200","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2808/63498, ttl=51 (request in 40)"
"43","18.307895000","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2809/63754, ttl=51 (request in 42)"
"45","19.331008400","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2810/64010, ttl=51 (request in 44)"
"47","20.352420000","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2811/64266, ttl=51 (request in 46)"
"49","20.792247100","46:f2:1b:94:13:64","IntelCor_d5:17:4a","ARP","94","39 dBm","","","172.20.10.1 is at 46:f2:1b:94:13:64"
"51","21.378726600","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2812/64522, ttl=51 (request in 50)"
"53","22.378435600","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2813/64778, ttl=51 (request in 52)"
"55","23.383912400","153.37.235.5","172.20.10.8","ICMP","126","36 dBm","","","Echo (ping) reply    id=0x0001, seq=2814/65034, ttl=51 (request in 54)"
"57","24.394606500","153.37.235.5","172.20.10.8","ICMP","126","36 dBm","","","Echo (ping) reply    id=0x0001, seq=2815/65290, ttl=51 (request in 56)"
"59","25.419180800","153.37.235.5","172.20.10.8","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=2816/11, ttl=51 (request in 58)"
"61","26.438760200","153.37.235.5","172.20.10.8","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=2817/267, ttl=51 (request in 60)"
"63","27.454014500","153.37.235.5","172.20.10.8","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2818/523, ttl=51 (request in 62)"
"65","28.474136300","153.37.235.5","172.20.10.8","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2819/779, ttl=51 (request in 64)"
