"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"3","0.000000000","110.242.68.66","172.20.10.6","ICMP","126","34 dBm","","","Echo (ping) reply    id=0x0001, seq=2704/36874, ttl=51"
"5","1.015052700","110.242.68.66","172.20.10.6","ICMP","126","34 dBm","","","Echo (ping) reply    id=0x0001, seq=2705/37130, ttl=51 (request in 4)"
"7","2.035729900","110.242.68.66","172.20.10.6","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2706/37386, ttl=51 (request in 6)"
"9","3.042358200","110.242.68.66","172.20.10.6","ICMP","126","36 dBm","","","Echo (ping) reply    id=0x0001, seq=2707/37642, ttl=51 (request in 8)"
"11","4.047088500","110.242.68.66","172.20.10.6","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2708/37898, ttl=51 (request in 10)"
"13","5.066813000","110.242.68.66","172.20.10.6","ICMP","126","36 dBm","","","Echo (ping) reply    id=0x0001, seq=2709/38154, ttl=51 (request in 12)"
"15","6.067909800","110.242.68.66","172.20.10.6","ICMP","126","34 dBm","","","Echo (ping) reply    id=0x0001, seq=2710/38410, ttl=51 (request in 14)"
"17","7.091816400","110.242.68.66","172.20.10.6","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2711/38666, ttl=51 (request in 16)"
"19","8.101938700","110.242.68.66","172.20.10.6","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2712/38922, ttl=51 (request in 18)"
"21","9.101906500","110.242.68.66","172.20.10.6","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2713/39178, ttl=51 (request in 20)"
"23","10.121921200","110.242.68.66","172.20.10.6","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2714/39434, ttl=51 (request in 22)"
"25","11.140119800","110.242.68.66","172.20.10.6","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2715/39690, ttl=51 (request in 24)"
"27","12.151578900","110.242.68.66","172.20.10.6","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2716/39946, ttl=51 (request in 26)"
"29","13.168928000","110.242.68.66","172.20.10.6","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2717/40202, ttl=51 (request in 28)"
"31","14.190847300","110.242.68.66","172.20.10.6","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2718/40458, ttl=51 (request in 30)"
"33","15.197729300","110.242.68.66","172.20.10.6","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2719/40714, ttl=51 (request in 32)"
"35","16.202194800","110.242.68.66","172.20.10.6","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2720/40970, ttl=51 (request in 34)"
"37","17.224879500","110.242.68.66","172.20.10.6","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2721/41226, ttl=51 (request in 36)"
"39","18.232614400","110.242.68.66","172.20.10.6","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2722/41482, ttl=51 (request in 38)"
"41","19.256555100","110.242.68.66","172.20.10.6","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2723/41738, ttl=51 (request in 40)"
"43","20.272543000","110.242.68.66","172.20.10.6","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2724/41994, ttl=51 (request in 42)"
"45","21.286969400","110.242.68.66","172.20.10.6","ICMP","126","34 dBm","","","Echo (ping) reply    id=0x0001, seq=2725/42250, ttl=51 (request in 44)"
"47","22.300886700","110.242.68.66","172.20.10.6","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2726/42506, ttl=51 (request in 46)"
"49","23.324108500","110.242.68.66","172.20.10.6","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2727/42762, ttl=51 (request in 48)"
"51","24.318957800","110.242.68.66","172.20.10.6","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2728/43018, ttl=51 (request in 50)"
"53","25.340132100","110.242.68.66","172.20.10.6","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2729/43274, ttl=51 (request in 52)"
"55","26.359772500","110.242.68.66","172.20.10.6","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2730/43530, ttl=51 (request in 54)"
"57","27.383049400","110.242.68.66","172.20.10.6","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2731/43786, ttl=51 (request in 56)"
"59","28.396496500","110.242.68.66","172.20.10.6","ICMP","126","34 dBm","","","Echo (ping) reply    id=0x0001, seq=2732/44042, ttl=51 (request in 58)"
"61","29.415168400","110.242.68.66","172.20.10.6","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2733/44298, ttl=51 (request in 60)"
"63","30.446837000","110.242.68.66","172.20.10.6","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2734/44554, ttl=51 (request in 62)"
"65","30.959188500","46:f2:1b:94:13:64","IntelCor_01:f9:af","ARP","94","35 dBm","","","172.20.10.1 is at 46:f2:1b:94:13:64"
"67","31.447831000","110.242.68.66","172.20.10.6","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2735/44810, ttl=51 (request in 66)"
"69","32.471875500","110.242.68.66","172.20.10.6","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2736/45066, ttl=51 (request in 68)"
"71","33.464941900","110.242.68.66","172.20.10.6","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2737/45322, ttl=51 (request in 70)"
"73","34.489101400","110.242.68.66","172.20.10.6","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2738/45578, ttl=51 (request in 72)"
"75","35.495280000","110.242.68.66","172.20.10.6","ICMP","126","34 dBm","","","Echo (ping) reply    id=0x0001, seq=2739/45834, ttl=51 (request in 74)"
"77","36.502906100","110.242.68.66","172.20.10.6","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2740/46090, ttl=51 (request in 76)"
"79","37.525288800","110.242.68.66","172.20.10.6","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2741/46346, ttl=51 (request in 78)"
"81","38.529143700","110.242.68.66","172.20.10.6","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2742/46602, ttl=51 (request in 80)"
"83","39.552327400","110.242.68.66","172.20.10.6","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2743/46858, ttl=51 (request in 82)"
"85","40.581855200","110.242.68.66","172.20.10.6","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2744/47114, ttl=51 (request in 84)"
"87","41.595083100","110.242.68.66","172.20.10.6","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2745/47370, ttl=51 (request in 86)"
"89","42.629727900","110.242.68.66","172.20.10.6","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2746/47626, ttl=51 (request in 88)"
"91","43.632989500","110.242.68.66","172.20.10.6","ICMP","126","34 dBm","","","Echo (ping) reply    id=0x0001, seq=2747/47882, ttl=51 (request in 90)"
