"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"4","0.003749700","46:f2:1b:94:13:64","IntelCor_01:f9:af","ARP","94","29 dBm","","","172.20.10.1 is at 46:f2:1b:94:13:64"
"6","0.337659400","110.242.68.66","172.20.10.6","ICMP","126","32 dBm","","","Echo (ping) reply    id=0x0001, seq=2352/12297, ttl=51 (request in 5)"
"8","1.348208500","110.242.68.66","172.20.10.6","ICMP","126","33 dBm","","","Echo (ping) reply    id=0x0001, seq=2353/12553, ttl=51 (request in 7)"
"10","2.369738100","110.242.68.66","172.20.10.6","ICMP","126","31 dBm","","","Echo (ping) reply    id=0x0001, seq=2354/12809, ttl=51 (request in 9)"
"12","3.381362700","110.242.68.66","172.20.10.6","ICMP","126","34 dBm","","","Echo (ping) reply    id=0x0001, seq=2355/13065, ttl=51 (request in 11)"
"14","4.399828100","110.242.68.66","172.20.10.6","ICMP","126","31 dBm","","","Echo (ping) reply    id=0x0001, seq=2356/13321, ttl=51 (request in 13)"
"16","5.404183300","110.242.68.66","172.20.10.6","ICMP","126","34 dBm","","","Echo (ping) reply    id=0x0001, seq=2357/13577, ttl=51 (request in 15)"
"18","6.426748600","110.242.68.66","172.20.10.6","ICMP","126","35 dBm","","","Echo (ping) reply    id=0x0001, seq=2358/13833, ttl=51 (request in 17)"
"20","7.455247900","110.242.68.66","172.20.10.6","ICMP","126","34 dBm","","","Echo (ping) reply    id=0x0001, seq=2359/14089, ttl=51 (request in 19)"
"22","8.449208700","110.242.68.66","172.20.10.6","ICMP","126","34 dBm","","","Echo (ping) reply    id=0x0001, seq=2360/14345, ttl=51 (request in 21)"
"24","9.450791900","110.242.68.66","172.20.10.6","ICMP","126","34 dBm","","","Echo (ping) reply    id=0x0001, seq=2361/14601, ttl=51 (request in 23)"
"26","10.468851400","110.242.68.66","172.20.10.6","ICMP","126","33 dBm","","","Echo (ping) reply    id=0x0001, seq=2362/14857, ttl=51 (request in 25)"
"28","11.494910300","110.242.68.66","172.20.10.6","ICMP","126","32 dBm","","","Echo (ping) reply    id=0x0001, seq=2363/15113, ttl=51 (request in 27)"
"30","12.498738600","110.242.68.66","172.20.10.6","ICMP","126","34 dBm","","","Echo (ping) reply    id=0x0001, seq=2364/15369, ttl=51 (request in 29)"
"32","13.523066400","110.242.68.66","172.20.10.6","ICMP","126","33 dBm","","","Echo (ping) reply    id=0x0001, seq=2365/15625, ttl=51 (request in 31)"
"34","14.511068700","110.242.68.66","172.20.10.6","ICMP","126","33 dBm","","","Echo (ping) reply    id=0x0001, seq=2366/15881, ttl=51 (request in 33)"
"36","15.523665400","110.242.68.66","172.20.10.6","ICMP","126","33 dBm","","","Echo (ping) reply    id=0x0001, seq=2367/16137, ttl=51 (request in 35)"
"38","16.541886700","110.242.68.66","172.20.10.6","ICMP","126","32 dBm","","","Echo (ping) reply    id=0x0001, seq=2368/16393, ttl=51 (request in 37)"
"40","17.528006500","110.242.68.66","172.20.10.6","ICMP","126","33 dBm","","","Echo (ping) reply    id=0x0001, seq=2369/16649, ttl=51 (request in 39)"
"42","18.551252700","110.242.68.66","172.20.10.6","ICMP","126","32 dBm","","","Echo (ping) reply    id=0x0001, seq=2370/16905, ttl=51 (request in 41)"
"44","19.556923800","110.242.68.66","172.20.10.6","ICMP","126","33 dBm","","","Echo (ping) reply    id=0x0001, seq=2371/17161, ttl=51 (request in 43)"
"46","20.578037100","110.242.68.66","172.20.10.6","ICMP","126","33 dBm","","","Echo (ping) reply    id=0x0001, seq=2372/17417, ttl=51 (request in 45)"
"48","21.590344600","110.242.68.66","172.20.10.6","ICMP","126","32 dBm","","","Echo (ping) reply    id=0x0001, seq=2373/17673, ttl=51 (request in 47)"
"50","22.617198500","110.242.68.66","172.20.10.6","ICMP","126","32 dBm","","","Echo (ping) reply    id=0x0001, seq=2374/17929, ttl=51 (request in 49)"
"52","23.614612400","110.242.68.66","172.20.10.6","ICMP","126","33 dBm","","","Echo (ping) reply    id=0x0001, seq=2375/18185, ttl=51 (request in 51)"
"54","24.629480000","110.242.68.66","172.20.10.6","ICMP","126","32 dBm","","","Echo (ping) reply    id=0x0001, seq=2376/18441, ttl=51 (request in 53)"
"56","25.647139700","110.242.68.66","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=2377/18697, ttl=51 (request in 55)"
"58","26.655053800","110.242.68.66","172.20.10.6","ICMP","126","33 dBm","","","Echo (ping) reply    id=0x0001, seq=2378/18953, ttl=51 (request in 57)"
"60","27.669933400","110.242.68.66","172.20.10.6","ICMP","126","31 dBm","","","Echo (ping) reply    id=0x0001, seq=2379/19209, ttl=51 (request in 59)"
"62","28.687045200","110.242.68.66","172.20.10.6","ICMP","126","32 dBm","","","Echo (ping) reply    id=0x0001, seq=2380/19465, ttl=51 (request in 61)"
"64","29.701843100","110.242.68.66","172.20.10.6","ICMP","126","33 dBm","","","Echo (ping) reply    id=0x0001, seq=2381/19721, ttl=51 (request in 63)"
"66","30.699053600","110.242.68.66","172.20.10.6","ICMP","126","34 dBm","","","Echo (ping) reply    id=0x0001, seq=2382/19977, ttl=51 (request in 65)"
"68","31.728977000","110.242.68.66","172.20.10.6","ICMP","126","33 dBm","","","Echo (ping) reply    id=0x0001, seq=2383/20233, ttl=51 (request in 67)"
"70","32.737313300","110.242.68.66","172.20.10.6","ICMP","126","34 dBm","","","Echo (ping) reply    id=0x0001, seq=2384/20489, ttl=51 (request in 69)"
"72","33.496275600","46:f2:1b:94:13:64","IntelCor_01:f9:af","ARP","94","34 dBm","","","172.20.10.1 is at 46:f2:1b:94:13:64"
"74","33.751539000","110.242.68.66","172.20.10.6","ICMP","126","34 dBm","","","Echo (ping) reply    id=0x0001, seq=2385/20745, ttl=51 (request in 73)"
"76","34.768583300","110.242.68.66","172.20.10.6","ICMP","126","34 dBm","","","Echo (ping) reply    id=0x0001, seq=2386/21001, ttl=51 (request in 75)"
"78","35.767256400","110.242.68.66","172.20.10.6","ICMP","126","33 dBm","","","Echo (ping) reply    id=0x0001, seq=2387/21257, ttl=51 (request in 77)"
"80","36.776999500","110.242.68.66","172.20.10.6","ICMP","126","33 dBm","","","Echo (ping) reply    id=0x0001, seq=2388/21513, ttl=51 (request in 79)"
"82","37.800720200","110.242.68.66","172.20.10.6","ICMP","126","33 dBm","","","Echo (ping) reply    id=0x0001, seq=2389/21769, ttl=51 (request in 81)"
"84","38.809098100","110.242.68.66","172.20.10.6","ICMP","126","33 dBm","","","Echo (ping) reply    id=0x0001, seq=2390/22025, ttl=51 (request in 83)"
