"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"4","0.051841300","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2044/64519, ttl=51 (request in 3)"
"6","0.446415500","172.20.10.1","172.20.10.6","DNS","223","39 dBm","","","Standard query response 0x92c0 A go.microsoft.com CNAME go.microsoft.com.edgekey.net CNAME e11290.dspg.akamaiedge.net A 104.93.145.199"
"8","0.739778900","104.93.145.199","172.20.10.6","TCP","118","38 dBm","","","443  >  50065 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1400 SACK_PERM=1 WS=128"
"12","1.028697500","104.93.145.199","172.20.10.6","TCP","106","38 dBm","","","443  >  50065 [ACK] Seq=1 Ack=184 Win=64128 Len=0"
"13","1.032887400","104.93.145.199","172.20.10.6","TLSv1.2","1506","39 dBm","","","Server Hello"
"14","1.032887400","104.93.145.199","172.20.10.6","TCP","1506","39 dBm","","","443  >  50065 [PSH, ACK] Seq=1401 Ack=184 Win=64128 Len=1400 [TCP segment of a reassembled PDU]"
"15","1.032887400","104.93.145.199","172.20.10.6","TLSv1.2","1402","39 dBm","","","Certificate [TCP segment of a reassembled PDU]"
"16","1.032887400","104.93.145.199","172.20.10.6","TLSv1.2","1506","39 dBm","","","Certificate Status [TCP segment of a reassembled PDU]"
"18","1.063598900","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2045/64775, ttl=51 (request in 11)"
"19","1.329814900","104.93.145.199","172.20.10.6","TLSv1.2","285","39 dBm","","","Server Key Exchange, Server Hello Done"
"22","1.621146100","104.93.145.199","172.20.10.6","TCP","106","38 dBm","","","443  >  50065 [ACK] Seq=5676 Ack=310 Win=64128 Len=0"
"23","1.621146100","104.93.145.199","172.20.10.6","TLSv1.2","364","38 dBm","","","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"26","1.897728600","104.93.145.199","172.20.10.6","TCP","106","38 dBm","","","443  >  50065 [ACK] Seq=5934 Ack=885 Win=64128 Len=0"
"27","1.899692200","104.93.145.199","172.20.10.6","TLSv1.2","644","38 dBm","","","Application Data"
"30","1.929124300","172.20.10.1","172.20.10.6","DNS","228","38 dBm","","","Standard query response 0x3ac8 No such name A stopservice.chshap.blob.core.windows.net SOA prd1.azuredns-cloud.net"
"32","2.066617300","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2046/65031, ttl=51 (request in 31)"
"34","3.092029000","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2047/65287, ttl=51 (request in 33)"
"36","4.110098000","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2048/8, ttl=51 (request in 35)"
"38","5.116929500","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2049/264, ttl=51 (request in 37)"
"40","6.132027400","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2050/520, ttl=51 (request in 39)"
"42","7.126142500","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2051/776, ttl=51 (request in 41)"
"44","8.146880700","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2052/1032, ttl=51 (request in 43)"
"46","9.171920700","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2053/1288, ttl=51 (request in 45)"
"48","10.191979200","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=2054/1544, ttl=51 (request in 47)"
"50","11.206866500","110.242.68.66","172.20.10.6","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=2055/1800, ttl=51 (request in 49)"
"52","12.211931400","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2056/2056, ttl=51 (request in 51)"
"54","13.231951500","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2057/2312, ttl=51 (request in 53)"
"56","14.226936100","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2058/2568, ttl=51 (request in 55)"
"58","15.281938900","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2059/2824, ttl=51 (request in 57)"
"60","16.295953500","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2060/3080, ttl=51 (request in 59)"
"62","17.289496200","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2061/3336, ttl=51 (request in 61)"
"64","18.291851100","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2062/3592, ttl=51 (request in 63)"
"66","19.300378100","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2063/3848, ttl=51 (request in 65)"
"68","20.321967900","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2064/4104, ttl=51 (request in 67)"
"70","21.337004400","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2065/4360, ttl=51 (request in 69)"
"72","22.346987900","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2066/4616, ttl=51 (request in 71)"
"74","23.379935800","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2067/4872, ttl=51 (request in 73)"
"76","24.371906100","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2068/5128, ttl=51 (request in 75)"
"78","25.381468200","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2069/5384, ttl=51 (request in 77)"
"80","26.389333400","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2070/5640, ttl=51 (request in 79)"
"82","27.412164700","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2071/5896, ttl=51 (request in 81)"
"84","28.421942900","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2072/6152, ttl=51 (request in 83)"
"86","29.442252400","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2073/6408, ttl=51 (request in 85)"
"88","30.462137300","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2074/6664, ttl=51 (request in 87)"
"90","31.467150000","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2075/6920, ttl=51 (request in 89)"
"92","32.502702900","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2076/7176, ttl=51 (request in 91)"
