"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"4","0.045669800","110.242.68.66","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=1743/52998, ttl=51 (request in 3)"
"6","1.061924800","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1744/53254, ttl=51 (request in 5)"
"8","2.083022100","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1745/53510, ttl=51 (request in 7)"
"10","3.171614000","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1746/53766, ttl=51 (request in 9)"
"12","4.130496800","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1747/54022, ttl=51 (request in 11)"
"14","5.167232500","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1748/54278, ttl=51 (request in 13)"
"16","6.203666500","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1749/54534, ttl=51 (request in 15)"
"18","7.162951200","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1750/54790, ttl=51 (request in 17)"
"20","8.166409300","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1751/55046, ttl=51 (request in 19)"
"22","9.182558600","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1752/55302, ttl=51 (request in 21)"
"24","10.172220400","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1753/55558, ttl=51 (request in 23)"
"26","11.197475200","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1754/55814, ttl=51 (request in 25)"
"28","12.182028000","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1755/56070, ttl=51 (request in 27)"
"30","13.206125600","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1756/56326, ttl=51 (request in 29)"
"32","14.205984100","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1757/56582, ttl=51 (request in 31)"
"34","15.224936100","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1758/56838, ttl=51 (request in 33)"
"36","16.235020000","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1759/57094, ttl=51 (request in 35)"
"38","17.243935800","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1760/57350, ttl=51 (request in 37)"
"40","18.249849200","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1761/57606, ttl=51 (request in 39)"
"42","19.276074100","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1762/57862, ttl=51 (request in 41)"
"44","20.286350100","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1763/58118, ttl=51 (request in 43)"
"46","21.296006300","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1764/58374, ttl=51 (request in 45)"
"48","22.337097500","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=1765/58630, ttl=51 (request in 47)"
"50","23.324115600","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1766/58886, ttl=51 (request in 49)"
"52","24.021333500","184.51.250.167","172.20.10.6","TCP","106","39 dBm","","","80  >  50049 [FIN, ACK] Seq=1 Ack=2 Win=501 Len=0"
"54","24.221306100","184.51.250.167","172.20.10.6","TCP","106","38 dBm","","","[TCP Retransmission] 80  >  50049 [FIN, ACK] Seq=1 Ack=2 Win=501 Len=0"
"57","24.328818500","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1767/59142, ttl=51 (request in 56)"
"58","24.532084000","184.51.250.167","172.20.10.6","TCP","106","39 dBm","","","80  >  50049 [RST] Seq=2 Win=0 Len=0"
"60","25.358322500","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=1768/59398, ttl=51 (request in 59)"
"62","26.352574100","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1769/59654, ttl=51 (request in 61)"
"64","27.399324300","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1770/59910, ttl=51 (request in 63)"
"66","28.375215600","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1771/60166, ttl=51 (request in 65)"
"68","28.961738200","20.198.162.78","172.20.10.6","TLSv1.2","275","38 dBm","","","Application Data"
"71","29.385131300","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1772/60422, ttl=51 (request in 70)"
"73","30.394540500","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1773/60678, ttl=51 (request in 72)"
"75","31.406044500","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1774/60934, ttl=51 (request in 74)"
"77","32.409980100","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1775/61190, ttl=51 (request in 76)"
"79","33.436275300","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1776/61446, ttl=51 (request in 78)"
"81","34.447196100","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1777/61702, ttl=51 (request in 80)"
"83","35.467261000","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1778/61958, ttl=51 (request in 82)"
"85","36.488326300","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1779/62214, ttl=51 (request in 84)"
"87","37.495134700","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1780/62470, ttl=51 (request in 86)"
"89","38.495213900","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1781/62726, ttl=51 (request in 88)"
"91","39.517984600","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=1782/62982, ttl=51 (request in 90)"
"93","40.531259800","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=1783/63238, ttl=51 (request in 92)"
"95","41.537431500","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1784/63494, ttl=51 (request in 94)"
"97","42.555182800","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=1785/63750, ttl=51 (request in 96)"
"99","43.555678400","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=1786/64006, ttl=51 (request in 98)"
"101","44.557876300","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1787/64262, ttl=51 (request in 100)"
"103","45.576219600","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1788/64518, ttl=51 (request in 102)"
"105","46.599484700","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1789/64774, ttl=51 (request in 104)"
"107","47.600647700","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1790/65030, ttl=51 (request in 106)"
"109","48.616258500","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1791/65286, ttl=51 (request in 108)"
"111","49.631190800","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=1792/7, ttl=51 (request in 110)"
"113","50.652277100","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=1793/263, ttl=51 (request in 112)"
"115","51.656635600","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=1794/519, ttl=51 (request in 114)"
"117","52.684461400","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1795/775, ttl=51 (request in 116)"
"119","53.690455100","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1796/1031, ttl=51 (request in 118)"
"121","54.686596900","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1797/1287, ttl=51 (request in 120)"
"123","55.698038400","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1798/1543, ttl=51 (request in 122)"
"125","56.720539700","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1799/1799, ttl=51 (request in 124)"
"127","57.724181600","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1800/2055, ttl=51 (request in 126)"
"129","58.726153600","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1801/2311, ttl=51 (request in 128)"
"131","59.755497400","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1802/2567, ttl=51 (request in 130)"
"133","60.764260200","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1803/2823, ttl=51 (request in 132)"
"135","61.654677500","46:f2:1b:94:13:64","IntelCor_01:f9:af","ARP","94","39 dBm","","","172.20.10.1 is at 46:f2:1b:94:13:64"
"137","61.755143200","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1804/3079, ttl=51 (request in 136)"
"139","62.764298100","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1805/3335, ttl=51 (request in 138)"
"141","63.810292000","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1806/3591, ttl=51 (request in 140)"
"143","64.795350200","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1807/3847, ttl=51 (request in 142)"
"145","65.810531100","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1808/4103, ttl=51 (request in 144)"
"147","66.816381500","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1809/4359, ttl=51 (request in 146)"
"149","67.836453100","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1810/4615, ttl=51 (request in 148)"
"151","68.827205400","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1811/4871, ttl=51 (request in 150)"
"153","69.879657700","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1812/5127, ttl=51 (request in 152)"
"155","70.885468000","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1813/5383, ttl=51 (request in 154)"
"157","71.927075000","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1814/5639, ttl=51 (request in 156)"
"159","72.886491000","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1815/5895, ttl=51 (request in 158)"
"161","73.896882400","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1816/6151, ttl=51 (request in 160)"
"163","74.911538300","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1817/6407, ttl=51 (request in 162)"
"165","75.918221500","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1818/6663, ttl=51 (request in 164)"
"167","76.927366100","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1819/6919, ttl=51 (request in 166)"
"169","77.933235900","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1820/7175, ttl=51 (request in 168)"
"171","78.956542100","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1821/7431, ttl=51 (request in 170)"
"173","79.966264300","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1822/7687, ttl=51 (request in 172)"
"175","80.988031300","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1823/7943, ttl=51 (request in 174)"
"177","82.003181000","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1824/8199, ttl=51 (request in 176)"
"179","83.048659900","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=1825/8455, ttl=51 (request in 178)"
"181","84.046490700","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1826/8711, ttl=51 (request in 180)"
"183","85.072308400","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=1827/8967, ttl=51 (request in 182)"
"185","86.077798900","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1828/9223, ttl=51 (request in 184)"
"187","87.084464100","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1829/9479, ttl=51 (request in 186)"
"189","88.103832100","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1830/9735, ttl=51 (request in 188)"
"191","89.129721500","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1831/9991, ttl=51 (request in 190)"
"193","90.167295700","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=1832/10247, ttl=51 (request in 192)"
"195","91.152612800","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1833/10503, ttl=51 (request in 194)"
"197","92.156776800","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1834/10759, ttl=51 (request in 196)"
"199","93.181271800","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1835/11015, ttl=51 (request in 198)"
"201","94.172559100","110.242.68.66","172.20.10.6","ICMP","126","39 dBm","","","Echo (ping) reply    id=0x0001, seq=1836/11271, ttl=51 (request in 200)"
"203","94.643090300","46:f2:1b:94:13:64","IntelCor_01:f9:af","ARP","94","38 dBm","","","172.20.10.1 is at 46:f2:1b:94:13:64"
