"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"4","0.023969200","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=2564/1034, ttl=53 (request in 3)"
"6","1.044214900","112.80.248.75","172.20.10.6","ICMP","126","17 dBm","","","Echo (ping) reply    id=0x0001, seq=2565/1290, ttl=53 (request in 5)"
"8","2.049974400","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=2566/1546, ttl=53 (request in 7)"
"10","3.077429300","112.80.248.75","172.20.10.6","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=2567/1802, ttl=53 (request in 9)"
"12","4.099419100","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2568/2058, ttl=53 (request in 11)"
"14","5.111708900","112.80.248.75","172.20.10.6","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=2569/2314, ttl=53 (request in 13)"
"16","6.120452600","112.80.248.75","172.20.10.6","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=2570/2570, ttl=53 (request in 15)"
"18","7.141458000","112.80.248.75","172.20.10.6","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=2571/2826, ttl=53 (request in 17)"
"20","8.137868700","112.80.248.75","172.20.10.6","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=2572/3082, ttl=53 (request in 19)"
"22","9.140061900","112.80.248.75","172.20.10.6","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=2573/3338, ttl=53 (request in 21)"
"24","10.149749400","112.80.248.75","172.20.10.6","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=2574/3594, ttl=53 (request in 23)"
"26","11.150505800","112.80.248.75","172.20.10.6","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=2575/3850, ttl=53 (request in 25)"
"28","12.180132300","112.80.248.75","172.20.10.6","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=2576/4106, ttl=53 (request in 27)"
"30","13.179607100","112.80.248.75","172.20.10.6","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=2577/4362, ttl=53 (request in 29)"
"31","13.814016100","40.100.54.226","172.20.10.6","TLSv1.2","146","26 dBm","","","Application Data"
"34","14.200408900","112.80.248.75","172.20.10.6","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=2578/4618, ttl=53 (request in 33)"
"36","15.220563900","112.80.248.75","172.20.10.6","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=2579/4874, ttl=53 (request in 35)"
"38","16.224447800","112.80.248.75","172.20.10.6","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=2580/5130, ttl=53 (request in 37)"
"40","17.243050100","112.80.248.75","172.20.10.6","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=2581/5386, ttl=53 (request in 39)"
"42","18.259482100","112.80.248.75","172.20.10.6","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=2582/5642, ttl=53 (request in 41)"
