"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"4","0.023945500","112.80.248.76","172.20.10.6","ICMP","126","24 dBm","","","Echo (ping) reply    id=0x0001, seq=3078/1548, ttl=54 (request in 3)"
"6","1.044299200","112.80.248.76","172.20.10.6","ICMP","126","25 dBm","","","Echo (ping) reply    id=0x0001, seq=3079/1804, ttl=54 (request in 5)"
"8","2.058764000","112.80.248.76","172.20.10.6","ICMP","126","24 dBm","","","Echo (ping) reply    id=0x0001, seq=3080/2060, ttl=54 (request in 7)"
"10","3.069349300","112.80.248.76","172.20.10.6","ICMP","126","22 dBm","","","Echo (ping) reply    id=0x0001, seq=3081/2316, ttl=54 (request in 9)"
"12","4.089347700","112.80.248.76","172.20.10.6","ICMP","126","22 dBm","","","Echo (ping) reply    id=0x0001, seq=3082/2572, ttl=54 (request in 11)"
"14","5.107624500","112.80.248.76","172.20.10.6","ICMP","126","19 dBm","","","Echo (ping) reply    id=0x0001, seq=3083/2828, ttl=54 (request in 13)"
"16","6.116540100","112.80.248.76","172.20.10.6","ICMP","126","21 dBm","","","Echo (ping) reply    id=0x0001, seq=3084/3084, ttl=54 (request in 15)"
"18","7.121117100","112.80.248.76","172.20.10.6","ICMP","126","21 dBm","","","Echo (ping) reply    id=0x0001, seq=3085/3340, ttl=54 (request in 17)"
"20","8.137151200","112.80.248.76","172.20.10.6","ICMP","126","22 dBm","","","Echo (ping) reply    id=0x0001, seq=3086/3596, ttl=54 (request in 19)"
"22","9.147244300","112.80.248.76","172.20.10.6","ICMP","126","22 dBm","","","Echo (ping) reply    id=0x0001, seq=3087/3852, ttl=54 (request in 21)"
"24","10.164600300","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3088/4108, ttl=54 (request in 23)"
"26","11.171743300","112.80.248.76","172.20.10.6","ICMP","126","21 dBm","","","Echo (ping) reply    id=0x0001, seq=3089/4364, ttl=54 (request in 25)"
"28","12.178330100","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3090/4620, ttl=54 (request in 27)"
"29","13.090824000","40.100.54.226","172.20.10.6","TLSv1.2","146","21 dBm","","","Application Data"
"32","13.196577100","112.80.248.76","172.20.10.6","ICMP","126","21 dBm","","","Echo (ping) reply    id=0x0001, seq=3091/4876, ttl=54 (request in 31)"
"34","14.209570200","112.80.248.76","172.20.10.6","ICMP","126","24 dBm","","","Echo (ping) reply    id=0x0001, seq=3092/5132, ttl=54 (request in 33)"
"36","15.233940500","112.80.248.76","172.20.10.6","ICMP","126","23 dBm","","","Echo (ping) reply    id=0x0001, seq=3093/5388, ttl=54 (request in 35)"
"38","16.246561200","112.80.248.76","172.20.10.6","ICMP","126","22 dBm","","","Echo (ping) reply    id=0x0001, seq=3094/5644, ttl=54 (request in 37)"
"40","17.266950900","112.80.248.76","172.20.10.6","ICMP","126","22 dBm","","","Echo (ping) reply    id=0x0001, seq=3095/5900, ttl=54 (request in 39)"
"42","18.286054300","112.80.248.76","172.20.10.6","ICMP","126","22 dBm","","","Echo (ping) reply    id=0x0001, seq=3096/6156, ttl=54 (request in 41)"
"44","19.306008400","112.80.248.76","172.20.10.6","ICMP","126","22 dBm","","","Echo (ping) reply    id=0x0001, seq=3097/6412, ttl=54 (request in 43)"
"46","20.340081400","112.80.248.76","172.20.10.6","ICMP","126","22 dBm","","","Echo (ping) reply    id=0x0001, seq=3098/6668, ttl=54 (request in 45)"
"48","20.820579800","46:f2:1b:94:13:64","IntelCor_01:f9:af","ARP","94","22 dBm","","","172.20.10.1 is at 46:f2:1b:94:13:64"
"50","21.338694400","112.80.248.76","172.20.10.6","ICMP","126","22 dBm","","","Echo (ping) reply    id=0x0001, seq=3099/6924, ttl=54 (request in 49)"
"52","22.360713900","112.80.248.76","172.20.10.6","ICMP","126","21 dBm","","","Echo (ping) reply    id=0x0001, seq=3100/7180, ttl=54 (request in 51)"
"54","23.363539600","112.80.248.76","172.20.10.6","ICMP","126","22 dBm","","","Echo (ping) reply    id=0x0001, seq=3101/7436, ttl=54 (request in 53)"
"56","24.386069000","112.80.248.76","172.20.10.6","ICMP","126","22 dBm","","","Echo (ping) reply    id=0x0001, seq=3102/7692, ttl=54 (request in 55)"
"58","25.407122000","112.80.248.76","172.20.10.6","ICMP","126","22 dBm","","","Echo (ping) reply    id=0x0001, seq=3103/7948, ttl=54 (request in 57)"
"60","26.425978900","112.80.248.76","172.20.10.6","ICMP","126","22 dBm","","","Echo (ping) reply    id=0x0001, seq=3104/8204, ttl=54 (request in 59)"
"62","27.445023300","112.80.248.76","172.20.10.6","ICMP","126","22 dBm","","","Echo (ping) reply    id=0x0001, seq=3105/8460, ttl=54 (request in 61)"
"64","28.017253100","20.198.162.76","172.20.10.6","TLSv1.2","281","22 dBm","","","Application Data"
"67","28.466521200","112.80.248.76","172.20.10.6","ICMP","126","22 dBm","","","Echo (ping) reply    id=0x0001, seq=3106/8716, ttl=54 (request in 66)"
"69","29.490123400","112.80.248.76","172.20.10.6","ICMP","126","22 dBm","","","Echo (ping) reply    id=0x0001, seq=3107/8972, ttl=54 (request in 68)"
"71","30.496745200","112.80.248.76","172.20.10.6","ICMP","126","21 dBm","","","Echo (ping) reply    id=0x0001, seq=3108/9228, ttl=54 (request in 70)"
