"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"4","0.026515000","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3922/21007, ttl=53 (request in 3)"
"6","1.047058200","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=3923/21263, ttl=53 (request in 5)"
"8","2.067054400","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=3924/21519, ttl=53 (request in 7)"
"10","3.088011600","112.80.248.75","172.20.10.6","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3925/21775, ttl=53 (request in 9)"
"12","4.087022400","112.80.248.75","172.20.10.6","ICMP","126","23 dBm","","","Echo (ping) reply    id=0x0001, seq=3926/22031, ttl=53 (request in 11)"
"14","5.107048100","112.80.248.75","172.20.10.6","ICMP","126","25 dBm","","","Echo (ping) reply    id=0x0001, seq=3927/22287, ttl=53 (request in 13)"
"17","5.538129900","13.107.42.23","172.20.10.6","TCP","118","24 dBm","","","443  >  57298 [ACK] Seq=1 Ack=2 Win=2045 Len=0 SLE=1 SRE=2"
"18","5.538129900","204.79.197.219","172.20.10.6","TCP","118","24 dBm","","","443  >  50975 [ACK] Seq=1 Ack=2 Win=2047 Len=0 SLE=1 SRE=2"
"20","5.967867700","20.184.57.167","172.20.10.6","TCP","118","28 dBm","","","443  >  54237 [ACK] Seq=1 Ack=2 Win=2048 Len=0 SLE=1 SRE=2"
"22","6.034750500","202.89.233.100","172.20.10.6","TCP","118","29 dBm","","","443  >  54295 [ACK] Seq=1 Ack=2 Win=2049 Len=0 SLE=1 SRE=2"
"24","6.108816500","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3928/22543, ttl=53 (request in 23)"
"26","7.131995700","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3929/22799, ttl=53 (request in 25)"
"28","7.743124200","204.79.197.219","172.20.10.6","TCP","118","28 dBm","","","443  >  64624 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 WS=256 SACK_PERM=1"
"31","7.807868300","204.79.197.219","172.20.10.6","TCP","106","28 dBm","","","443  >  64624 [ACK] Seq=1 Ack=518 Win=524288 Len=0"
"32","7.810154700","204.79.197.219","172.20.10.6","TCP","1506","28 dBm","","","443  >  64624 [ACK] Seq=1 Ack=518 Win=524288 Len=1400 [TCP segment of a reassembled PDU]"
"33","7.810154700","204.79.197.219","172.20.10.6","TCP","1506","28 dBm","","","443  >  64624 [ACK] Seq=1401 Ack=518 Win=524288 Len=1400 [TCP segment of a reassembled PDU]"
"35","7.813122500","204.79.197.219","172.20.10.6","TCP","1506","28 dBm","","","443  >  64624 [ACK] Seq=2801 Ack=518 Win=524288 Len=1400 [TCP segment of a reassembled PDU]"
"36","7.813122500","204.79.197.219","172.20.10.6","TLSv1.2","1463","28 dBm","","","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
