"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"4","0.022397600","112.80.248.75","172.20.10.6","ICMP","126","32 dBm","","","Echo (ping) reply    id=0x0001, seq=3739/39694, ttl=53 (request in 3)"
"6","1.031379000","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3740/39950, ttl=53 (request in 5)"
"8","2.050400300","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3741/40206, ttl=53 (request in 7)"
"10","3.046410300","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3742/40462, ttl=53 (request in 9)"
"12","4.066465100","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3743/40718, ttl=53 (request in 11)"
"14","5.090441900","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3744/40974, ttl=53 (request in 13)"
"16","6.163838600","112.80.248.75","172.20.10.6","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3745/41230, ttl=53 (request in 15)"
"18","7.140476300","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3746/41486, ttl=53 (request in 17)"
"20","8.146478100","112.80.248.75","172.20.10.6","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3747/41742, ttl=53 (request in 19)"
"22","9.141475300","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3748/41998, ttl=53 (request in 21)"
"24","10.146492000","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3749/42254, ttl=53 (request in 23)"
"26","10.900276500","172.20.10.1","172.20.10.6","DNS","252","30 dBm","","","Standard query response 0x0809 A tile-service.weather.microsoft.com CNAME wildcard.weather.microsoft.com.edgekey.net CNAME e15275.g.akamaiedge.net A 184.24.3.140"
"29","11.148777800","184.24.3.140","172.20.10.6","TCP","118","30 dBm","","","80  >  49815 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1400 SACK_PERM=1 WS=128"
"32","11.186221300","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3750/42510, ttl=53 (request in 28)"
"33","11.397253600","184.24.3.140","172.20.10.6","TCP","106","30 dBm","","","80  >  49815 [ACK] Seq=1 Ack=214 Win=64128 Len=0"
"34","11.398354200","184.24.3.140","172.20.10.6","HTTP","444","30 dBm","","","HTTP/1.1 200 OK "
"37","12.192476900","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3751/42766, ttl=53 (request in 36)"
"39","13.196812800","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3752/43022, ttl=53 (request in 38)"
"40","13.410273300","184.24.3.140","172.20.10.6","TCP","106","30 dBm","","","80  >  49815 [FIN, ACK] Seq=339 Ack=214 Win=64128 Len=0"
"43","13.650262700","184.24.3.140","172.20.10.6","TCP","106","30 dBm","","","80  >  49815 [ACK] Seq=340 Ack=215 Win=64128 Len=0"
"45","14.226438100","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3753/43278, ttl=53 (request in 44)"
"47","15.227151400","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3754/43534, ttl=53 (request in 46)"
"49","16.230556800","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3755/43790, ttl=53 (request in 48)"
"50","16.511335700","153.35.101.242","172.20.10.6","TCP","106","29 dBm","","","80  >  49800 [FIN, ACK] Seq=1 Ack=1 Win=1859 Len=0"
"53","16.543985500","153.35.101.242","172.20.10.6","TCP","106","30 dBm","","","80  >  49800 [ACK] Seq=2 Ack=2 Win=1859 Len=0"
"54","16.543985500","153.35.101.242","172.20.10.6","TCP","106","30 dBm","","","[TCP Dup ACK 53#1] 80  >  49800 [ACK] Seq=2 Ack=2 Win=1859 Len=0"
"56","17.266554500","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3756/44046, ttl=53 (request in 55)"
"58","18.271475700","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3757/44302, ttl=53 (request in 57)"
"60","19.291489300","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3758/44558, ttl=53 (request in 59)"
"62","20.306536100","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3759/44814, ttl=53 (request in 61)"
"64","21.312640900","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3760/45070, ttl=53 (request in 63)"
"66","22.321630700","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3761/45326, ttl=53 (request in 65)"
"68","23.330630700","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3762/45582, ttl=53 (request in 67)"
"70","24.350585400","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3763/45838, ttl=53 (request in 69)"
"72","25.367632000","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3764/46094, ttl=53 (request in 71)"
"74","26.385634400","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3765/46350, ttl=53 (request in 73)"
"76","27.410473100","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3766/46606, ttl=53 (request in 75)"
"78","28.411462200","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3767/46862, ttl=53 (request in 77)"
"80","29.433563600","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3768/47118, ttl=53 (request in 79)"
"82","30.450676400","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3769/47374, ttl=53 (request in 81)"
"84","31.461596100","112.80.248.75","172.20.10.6","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3770/47630, ttl=53 (request in 83)"
"86","32.489702500","112.80.248.75","172.20.10.6","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3771/47886, ttl=53 (request in 85)"
"88","33.514623700","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3772/48142, ttl=53 (request in 87)"
"90","34.530524300","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3773/48398, ttl=53 (request in 89)"
"92","35.540561200","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3774/48654, ttl=53 (request in 91)"
"94","36.560684200","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3775/48910, ttl=53 (request in 93)"
"96","37.586673400","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3776/49166, ttl=53 (request in 95)"
"98","38.592180000","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3777/49422, ttl=53 (request in 97)"
"100","39.600635200","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3778/49678, ttl=53 (request in 99)"
"102","40.611194500","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3779/49934, ttl=53 (request in 101)"
"104","41.625761500","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3780/50190, ttl=53 (request in 103)"
"106","42.646777600","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3781/50446, ttl=53 (request in 105)"
"108","43.665731100","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3782/50702, ttl=53 (request in 107)"
"110","44.126226300","46:f2:1b:94:13:64","IntelCor_01:f9:af","ARP","94","30 dBm","","","172.20.10.1 is at 46:f2:1b:94:13:64"
"112","44.675596200","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3783/50958, ttl=53 (request in 111)"
"114","45.691561300","112.80.248.75","172.20.10.6","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3784/51214, ttl=53 (request in 113)"
"116","46.705760800","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3785/51470, ttl=53 (request in 115)"
"118","47.707092600","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3786/51726, ttl=53 (request in 117)"
"120","48.715823000","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3787/51982, ttl=53 (request in 119)"
"122","49.730524200","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3788/52238, ttl=53 (request in 121)"
"125","50.152394100","184.24.14.83","172.20.10.6","TCP","106","29 dBm","","","443  >  49802 [FIN, ACK] Seq=32 Ack=2 Win=501 Len=0"
"126","50.152394100","184.24.14.83","172.20.10.6","TCP","137","29 dBm","","","[TCP Out-Of-Order] 443  >  49802 [PSH, ACK] Seq=1 Ack=2 Win=501 Len=31"
"129","50.194022200","184.24.14.83","172.20.10.6","TCP","106","30 dBm","","","443  >  49803 [FIN, ACK] Seq=32 Ack=2 Win=501 Len=0"
"131","50.194827800","184.24.14.83","172.20.10.6","TCP","137","30 dBm","","","[TCP Out-Of-Order] 443  >  49803 [PSH, ACK] Seq=1 Ack=2 Win=501 Len=31"
"134","50.731644500","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3789/52494, ttl=53 (request in 133)"
"136","51.746714100","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3790/52750, ttl=53 (request in 135)"
"138","52.757233400","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3791/53006, ttl=53 (request in 137)"
"140","53.766769000","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3792/53262, ttl=53 (request in 139)"
"142","54.794812400","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3793/53518, ttl=53 (request in 141)"
"144","55.797740100","112.80.248.75","172.20.10.6","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3794/53774, ttl=53 (request in 143)"
"146","56.801797700","112.80.248.75","172.20.10.6","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3795/54030, ttl=53 (request in 145)"
"148","57.834824400","112.80.248.75","172.20.10.6","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3796/54286, ttl=53 (request in 147)"
"150","58.831820000","112.80.248.75","172.20.10.6","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3797/54542, ttl=53 (request in 149)"
"152","59.836863300","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3798/54798, ttl=53 (request in 151)"
"154","60.850786000","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3799/55054, ttl=53 (request in 153)"
"156","61.861920300","112.80.248.75","172.20.10.6","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3800/55310, ttl=53 (request in 155)"
"158","62.871922700","112.80.248.75","172.20.10.6","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3801/55566, ttl=53 (request in 157)"
"160","63.877373200","112.80.248.75","172.20.10.6","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3802/55822, ttl=53 (request in 159)"
"162","64.886775900","112.80.248.75","172.20.10.6","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3803/56078, ttl=53 (request in 161)"
"164","65.890815500","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3804/56334, ttl=53 (request in 163)"
"166","66.891823600","112.80.248.75","172.20.10.6","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3805/56590, ttl=53 (request in 165)"
"168","67.906822300","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3806/56846, ttl=53 (request in 167)"
"170","68.915849400","112.80.248.75","172.20.10.6","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3807/57102, ttl=53 (request in 169)"
"172","69.927111200","112.80.248.75","172.20.10.6","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3808/57358, ttl=53 (request in 171)"
"174","70.946913500","112.80.248.75","172.20.10.6","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3809/57614, ttl=53 (request in 173)"
"176","71.948917800","112.80.248.75","172.20.10.6","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3810/57870, ttl=53 (request in 175)"
"178","73.055264400","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3811/58126, ttl=53 (request in 177)"
"180","74.001546900","112.80.248.75","172.20.10.6","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3812/58382, ttl=53 (request in 179)"
"182","75.019352300","112.80.248.75","172.20.10.6","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3813/58638, ttl=53 (request in 181)"
"184","76.006980200","112.80.248.75","172.20.10.6","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3814/58894, ttl=53 (request in 183)"
"186","77.034985500","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3815/59150, ttl=53 (request in 185)"
"188","78.058989200","112.80.248.75","172.20.10.6","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3816/59406, ttl=53 (request in 187)"
"190","79.055888800","112.80.248.75","172.20.10.6","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3817/59662, ttl=53 (request in 189)"
"192","80.072939600","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3818/59918, ttl=53 (request in 191)"
"194","81.106028200","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3819/60174, ttl=53 (request in 193)"
"196","82.110877600","112.80.248.75","172.20.10.6","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3820/60430, ttl=53 (request in 195)"
"198","83.113885100","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3821/60686, ttl=53 (request in 197)"
"200","83.620119800","46:f2:1b:94:13:64","IntelCor_01:f9:af","ARP","94","30 dBm","","","172.20.10.1 is at 46:f2:1b:94:13:64"
"202","84.138912800","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3822/60942, ttl=53 (request in 201)"
"204","85.130835500","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3823/61198, ttl=53 (request in 203)"
"206","86.147005500","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3824/61454, ttl=53 (request in 205)"
"208","87.147040600","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3825/61710, ttl=53 (request in 207)"
"210","88.159025800","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3826/61966, ttl=53 (request in 209)"
"212","89.196973300","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3827/62222, ttl=53 (request in 211)"
"214","90.195971900","112.80.248.75","172.20.10.6","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3828/62478, ttl=53 (request in 213)"
"216","91.207007500","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3829/62734, ttl=53 (request in 215)"
"218","92.235058300","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3830/62990, ttl=53 (request in 217)"
"220","93.232523800","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3831/63246, ttl=53 (request in 219)"
"222","94.237152900","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3832/63502, ttl=53 (request in 221)"
"224","95.267155100","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3833/63758, ttl=53 (request in 223)"
"226","96.257122800","112.80.248.75","172.20.10.6","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3834/64014, ttl=53 (request in 225)"
"228","97.272114000","112.80.248.75","172.20.10.6","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3835/64270, ttl=53 (request in 227)"
"230","98.315174200","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3836/64526, ttl=53 (request in 229)"
"232","99.296041800","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3837/64782, ttl=53 (request in 231)"
"234","100.313196500","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3838/65038, ttl=53 (request in 233)"
"236","101.346099500","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3839/65294, ttl=53 (request in 235)"
"238","102.358061500","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3840/15, ttl=53 (request in 237)"
"240","103.377117200","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3841/271, ttl=53 (request in 239)"
"242","104.386245800","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3842/527, ttl=53 (request in 241)"
"244","105.392250000","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3843/783, ttl=53 (request in 243)"
"246","106.403109700","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3844/1039, ttl=53 (request in 245)"
"248","107.426150900","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3845/1295, ttl=53 (request in 247)"
"250","108.427665400","112.80.248.75","172.20.10.6","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3846/1551, ttl=53 (request in 249)"
"252","109.445134200","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3847/1807, ttl=53 (request in 251)"
"254","110.451096800","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3848/2063, ttl=53 (request in 253)"
"256","111.463207100","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3849/2319, ttl=53 (request in 255)"
"258","112.472121800","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3850/2575, ttl=53 (request in 257)"
"260","113.497272900","112.80.248.75","172.20.10.6","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3851/2831, ttl=53 (request in 259)"
"262","114.498133500","112.80.248.75","172.20.10.6","ICMP","126","30 dBm","","","Echo (ping) reply    id=0x0001, seq=3852/3087, ttl=53 (request in 261)"
"264","115.507228500","112.80.248.75","172.20.10.6","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3853/3343, ttl=53 (request in 263)"
"266","116.539275300","112.80.248.75","172.20.10.6","ICMP","126","29 dBm","","","Echo (ping) reply    id=0x0001, seq=3854/3599, ttl=53 (request in 265)"
