"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","MCS index","Data rate","Info"
"38","0.359063","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-56 dBm","-93 dBm","37 dB","","6","Beacon frame, SN=2132, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"39","0.460256","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-55 dBm","-93 dBm","38 dB","","6","Beacon frame, SN=2133, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"40","0.562256","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-58 dBm","-93 dBm","35 dB","","6","Beacon frame, SN=2134, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"41","0.669771","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2135, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"42","0.766747","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2136, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"43","0.873326","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-56 dBm","-93 dBm","37 dB","","6","Beacon frame, SN=2137, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"44","0.971668","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2138, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"45","1.080181","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-56 dBm","-93 dBm","37 dB","","6","Beacon frame, SN=2139, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"46","1.176490","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-56 dBm","-93 dBm","37 dB","","6","Beacon frame, SN=2140, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"47","1.278881","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-55 dBm","-93 dBm","38 dB","","6","Beacon frame, SN=2141, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"48","1.384473","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-53 dBm","-93 dBm","40 dB","","6","Beacon frame, SN=2142, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"49","1.484002","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-55 dBm","-93 dBm","38 dB","","6","Beacon frame, SN=2143, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"50","1.590300","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-54 dBm","-93 dBm","39 dB","","6","Beacon frame, SN=2144, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"51","1.691793","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-55 dBm","-93 dBm","38 dB","","6","Beacon frame, SN=2145, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"52","1.790959","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-55 dBm","-93 dBm","38 dB","","6","Beacon frame, SN=2146, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"53","1.894207","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-55 dBm","-93 dBm","38 dB","","6","Beacon frame, SN=2147, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"54","1.995806","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-56 dBm","-93 dBm","37 dB","","6","Beacon frame, SN=2148, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"55","2.098502","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-58 dBm","-93 dBm","35 dB","","6","Beacon frame, SN=2149, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"56","2.200454","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-58 dBm","-93 dBm","35 dB","","6","Beacon frame, SN=2150, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"57","2.307663","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-58 dBm","-93 dBm","35 dB","","6","Beacon frame, SN=2151, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"58","2.405281","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2152, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"59","2.507650","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-56 dBm","-93 dBm","37 dB","","6","Beacon frame, SN=2153, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"60","2.616570","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2154, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"61","2.712556","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2155, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"62","2.814879","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-58 dBm","-93 dBm","35 dB","","6","Beacon frame, SN=2156, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"63","2.917354","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2157, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"64","3.019739","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-58 dBm","-93 dBm","35 dB","","6","Beacon frame, SN=2158, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"65","3.125928","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-58 dBm","-93 dBm","35 dB","","6","Beacon frame, SN=2159, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"66","3.224587","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-58 dBm","-93 dBm","35 dB","","6","Beacon frame, SN=2160, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"67","3.329038","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-58 dBm","-93 dBm","35 dB","","6","Beacon frame, SN=2161, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"68","3.429137","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-58 dBm","-93 dBm","35 dB","","6","Beacon frame, SN=2162, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"69","3.532281","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-59 dBm","-93 dBm","34 dB","","6","Beacon frame, SN=2163, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"70","3.634082","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-56 dBm","-93 dBm","37 dB","","6","Beacon frame, SN=2164, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"71","3.737172","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-55 dBm","-93 dBm","38 dB","","6","Beacon frame, SN=2165, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"72","3.839238","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2166, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"73","3.941638","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-58 dBm","-93 dBm","35 dB","","6","Beacon frame, SN=2167, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"74","4.043994","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-58 dBm","-93 dBm","35 dB","","6","Beacon frame, SN=2168, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"75","4.146454","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2169, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"76","4.248847","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-56 dBm","-93 dBm","37 dB","","6","Beacon frame, SN=2170, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"77","4.351246","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-56 dBm","-93 dBm","37 dB","","6","Beacon frame, SN=2171, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"78","4.453632","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-56 dBm","-93 dBm","37 dB","","6","Beacon frame, SN=2172, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"79","4.556020","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-56 dBm","-93 dBm","37 dB","","6","Beacon frame, SN=2173, FN=0, Flags=........C, BI=100, SSID=Z5241154"
