"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","MCS index","Data rate","Info"
"1","0.000000","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-55 dBm","-92 dBm","37 dB","","6","Beacon frame, SN=4035, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"2","0.104341","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-55 dBm","-92 dBm","37 dB","","6","Beacon frame, SN=4036, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"3","0.204745","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-55 dBm","-92 dBm","37 dB","","6","Beacon frame, SN=4037, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"4","0.307125","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=4038, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"5","0.409503","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=4039, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"6","0.512216","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-52 dBm","-92 dBm","40 dB","","6","Beacon frame, SN=4040, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"7","0.614626","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-52 dBm","-92 dBm","40 dB","","6","Beacon frame, SN=4041, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"8","0.717024","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=4042, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"9","0.819403","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-52 dBm","-92 dBm","40 dB","","6","Beacon frame, SN=4043, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"10","0.921837","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-52 dBm","-92 dBm","40 dB","","6","Beacon frame, SN=4044, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"11","1.024228","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=4045, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"12","1.126939","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=4046, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"13","1.229030","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=4047, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"14","1.331428","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=4048, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"15","1.433845","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-52 dBm","-92 dBm","40 dB","","6","Beacon frame, SN=4049, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"16","1.536215","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-55 dBm","-92 dBm","37 dB","","6","Beacon frame, SN=4050, FN=0, Flags=........C, BI=100, SSID=Z5241154"
