"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","MCS index","Data rate","Info"
"1","0.000000","0a:cc:e9:84:46:79","Broadcast","802.11","426","-56 dBm","-92 dBm","36 dB","","6","Beacon frame, SN=3452, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"2","0.105617","0a:cc:e9:84:46:79","Broadcast","802.11","426","-56 dBm","-92 dBm","36 dB","","6","Beacon frame, SN=3453, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"3","0.204876","0a:cc:e9:84:46:79","Broadcast","802.11","426","-57 dBm","-92 dBm","35 dB","","6","Beacon frame, SN=3454, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"4","0.310771","0a:cc:e9:84:46:79","Broadcast","802.11","426","-56 dBm","-92 dBm","36 dB","","6","Beacon frame, SN=3455, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"5","0.409548","0a:cc:e9:84:46:79","Broadcast","802.11","426","-57 dBm","-92 dBm","35 dB","","6","Beacon frame, SN=3456, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"6","0.513407","0a:cc:e9:84:46:79","Broadcast","802.11","426","-56 dBm","-92 dBm","36 dB","","6","Beacon frame, SN=3457, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"7","0.619713","0a:cc:e9:84:46:79","Broadcast","802.11","426","-57 dBm","-92 dBm","35 dB","","6","Beacon frame, SN=3458, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"8","0.716773","0a:cc:e9:84:46:79","Broadcast","802.11","426","-57 dBm","-92 dBm","35 dB","","6","Beacon frame, SN=3459, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"9","0.819062","0a:cc:e9:84:46:79","Broadcast","802.11","426","-57 dBm","-92 dBm","35 dB","","6","Beacon frame, SN=3460, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"10","0.921550","0a:cc:e9:84:46:79","Broadcast","802.11","426","-56 dBm","-92 dBm","36 dB","","6","Beacon frame, SN=3461, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"11","1.023882","0a:cc:e9:84:46:79","Broadcast","802.11","426","-57 dBm","-92 dBm","35 dB","","6","Beacon frame, SN=3462, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"12","1.130086","0a:cc:e9:84:46:79","Broadcast","802.11","426","-56 dBm","-92 dBm","36 dB","","6","Beacon frame, SN=3463, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"13","1.228792","0a:cc:e9:84:46:79","Broadcast","802.11","426","-56 dBm","-92 dBm","36 dB","","6","Beacon frame, SN=3464, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"14","1.331146","0a:cc:e9:84:46:79","Broadcast","802.11","426","-57 dBm","-92 dBm","35 dB","","6","Beacon frame, SN=3465, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"15","1.433601","0a:cc:e9:84:46:79","Broadcast","802.11","426","-56 dBm","-92 dBm","36 dB","","6","Beacon frame, SN=3466, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"16","1.535863","0a:cc:e9:84:46:79","Broadcast","802.11","426","-56 dBm","-92 dBm","36 dB","","6","Beacon frame, SN=3467, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"17","1.642068","0a:cc:e9:84:46:79","Broadcast","802.11","426","-55 dBm","-92 dBm","37 dB","","6","Beacon frame, SN=3468, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"18","1.740625","0a:cc:e9:84:46:79","Broadcast","802.11","426","-55 dBm","-92 dBm","37 dB","","6","Beacon frame, SN=3469, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"19","1.843154","0a:cc:e9:84:46:79","Broadcast","802.11","426","-55 dBm","-92 dBm","37 dB","","6","Beacon frame, SN=3470, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"20","1.949083","0a:cc:e9:84:46:79","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=3471, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"21","2.048069","0a:cc:e9:84:46:79","Broadcast","802.11","426","-55 dBm","-92 dBm","37 dB","","6","Beacon frame, SN=3472, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"22","2.150528","0a:cc:e9:84:46:79","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=3473, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"23","2.258214","0a:cc:e9:84:46:79","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=3474, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"24","2.355165","0a:cc:e9:84:46:79","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=3475, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"25","2.457718","0a:cc:e9:84:46:79","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=3476, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"26","2.563657","0a:cc:e9:84:46:79","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=3477, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"27","2.662450","0a:cc:e9:84:46:79","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=3478, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"28","2.764752","0a:cc:e9:84:46:79","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=3479, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"29","2.870126","0a:cc:e9:84:46:79","Broadcast","802.11","426","-52 dBm","-92 dBm","40 dB","","6","Beacon frame, SN=3480, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"30","2.975627","0a:cc:e9:84:46:79","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=3481, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"31","3.072027","0a:cc:e9:84:46:79","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=3482, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"32","3.178582","0a:cc:e9:84:46:79","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=3483, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"33","3.276733","0a:cc:e9:84:46:79","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=3484, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"34","3.381766","0a:cc:e9:84:46:79","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=3485, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"35","3.481912","0a:cc:e9:84:46:79","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=3486, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"36","3.584307","0a:cc:e9:84:46:79","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=3487, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"37","3.686994","0a:cc:e9:84:46:79","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=3488, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"38","3.789180","0a:cc:e9:84:46:79","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=3489, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"39","3.891571","0a:cc:e9:84:46:79","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=3490, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"40","3.993915","0a:cc:e9:84:46:79","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=3491, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"41","4.096379","0a:cc:e9:84:46:79","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=3492, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"42","4.198726","0a:cc:e9:84:46:79","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=3493, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"43","4.301145","0a:cc:e9:84:46:79","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=3494, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"44","4.403506","0a:cc:e9:84:46:79","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=3495, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"45","4.505916","0a:cc:e9:84:46:79","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=3496, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"46","4.608324","0a:cc:e9:84:46:79","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=3497, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"47","4.711011","0a:cc:e9:84:46:79","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=3498, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"48","4.813122","0a:cc:e9:84:46:79","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=3499, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"49","4.915530","0a:cc:e9:84:46:79","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=3500, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"50","5.017768","0a:cc:e9:84:46:79","Broadcast","802.11","426","-55 dBm","-92 dBm","37 dB","","6","Beacon frame, SN=3501, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"51","5.120374","0a:cc:e9:84:46:79","Broadcast","802.11","426","-57 dBm","-92 dBm","35 dB","","6","Beacon frame, SN=3502, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"52","5.222722","0a:cc:e9:84:46:79","Broadcast","802.11","426","-58 dBm","-92 dBm","34 dB","","6","Beacon frame, SN=3503, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"53","5.325128","0a:cc:e9:84:46:79","Broadcast","802.11","426","-56 dBm","-92 dBm","36 dB","","6","Beacon frame, SN=3504, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"54","5.427513","0a:cc:e9:84:46:79","Broadcast","802.11","426","-57 dBm","-92 dBm","35 dB","","6","Beacon frame, SN=3505, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"55","5.529929","0a:cc:e9:84:46:79","Broadcast","802.11","426","-57 dBm","-92 dBm","35 dB","","6","Beacon frame, SN=3506, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"56","5.632319","0a:cc:e9:84:46:79","Broadcast","802.11","426","-56 dBm","-92 dBm","36 dB","","6","Beacon frame, SN=3507, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"57","5.735005","0a:cc:e9:84:46:79","Broadcast","802.11","426","-58 dBm","-92 dBm","34 dB","","6","Beacon frame, SN=3508, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"58","5.837131","0a:cc:e9:84:46:79","Broadcast","802.11","426","-57 dBm","-92 dBm","35 dB","","6","Beacon frame, SN=3509, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"59","5.939521","0a:cc:e9:84:46:79","Broadcast","802.11","426","-55 dBm","-92 dBm","37 dB","","6","Beacon frame, SN=3510, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"60","6.041925","0a:cc:e9:84:46:79","Broadcast","802.11","426","-55 dBm","-92 dBm","37 dB","","6","Beacon frame, SN=3511, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"61","6.144333","0a:cc:e9:84:46:79","Broadcast","802.11","426","-55 dBm","-92 dBm","37 dB","","6","Beacon frame, SN=3512, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"62","6.246729","0a:cc:e9:84:46:79","Broadcast","802.11","426","-55 dBm","-92 dBm","37 dB","","6","Beacon frame, SN=3513, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"63","6.349140","0a:cc:e9:84:46:79","Broadcast","802.11","426","-55 dBm","-92 dBm","37 dB","","6","Beacon frame, SN=3514, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"64","6.451515","0a:cc:e9:84:46:79","Broadcast","802.11","426","-55 dBm","-92 dBm","37 dB","","6","Beacon frame, SN=3515, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"65","6.553938","0a:cc:e9:84:46:79","Broadcast","802.11","426","-56 dBm","-92 dBm","36 dB","","6","Beacon frame, SN=3516, FN=0, Flags=........C, BI=100, SSID=Z5241154"
